AppelKey,Libelle_code_appel,Code_appel,Held,Raccroche_agent,Interruptdel,Numero_compose
184,answered,2.0,2.0,1.0,0.0,2796547.0
185,answered,2.0,2.0,1.0,0.0,2796009.0
186,answered,2.0,2.0,1.0,0.0,2796549.0
187,answered,2.0,2.0,1.0,0.0,2796512.0
188,answered,2.0,2.0,0.0,0.0,2796615.0
189,answered,2.0,2.0,1.0,0.0,2796509.0
190,answered,2.0,2.0,0.0,0.0,2796001.0
191,answered,2.0,2.0,0.0,0.0,2796675.0
192,answered,2.0,2.0,0.0,0.0,2788603.0
193,answered,2.0,2.0,0.0,0.0,2788668.0
194,answered,2.0,2.0,0.0,0.0,2796589.0
195,answered,2.0,2.0,0.0,0.0,2796633.0
196,answered,2.0,2.0,0.0,0.0,2788674.0
197,answered,2.0,2.0,0.0,0.0,2788649.0
198,answered,2.0,2.0,0.0,0.0,2788669.0
199,answered,2.0,2.0,1.0,0.0,2788666.0
200,answered,2.0,2.0,0.0,0.0,2796647.0
201,answered,2.0,2.0,0.0,0.0,2788637.0
202,answered,2.0,2.0,0.0,0.0,2788684.0
203,answered,2.0,2.0,1.0,0.0,2788641.0
204,answered,2.0,2.0,0.0,0.0,2788679.0
205,answered,2.0,2.0,0.0,0.0,2788623.0
206,answered,2.0,2.0,0.0,0.0,2788620.0
207,answered,2.0,2.0,0.0,0.0,2796507.0
208,answered,2.0,2.0,1.0,0.0,2796506.0
209,answered,2.0,2.0,0.0,0.0,2788686.0
210,answered,2.0,2.0,0.0,0.0,2796022.0
211,answered,2.0,2.0,1.0,0.0,2796514.0
212,answered,2.0,2.0,0.0,0.0,2788631.0
213,answered,2.0,2.0,1.0,0.0,2796537.0
214,answered,2.0,2.0,1.0,0.0,2788656.0
215,answered,2.0,2.0,1.0,0.0,2788576.0
216,answered,2.0,2.0,0.0,0.0,2788636.0
217,answered,2.0,2.0,1.0,0.0,2796551.0
218,answered,2.0,2.0,1.0,0.0,2796502.0
219,answered,2.0,2.0,0.0,0.0,2796526.0
220,answered,2.0,2.0,1.0,0.0,2796501.0
221,answered,2.0,2.0,1.0,0.0,2788698.0
222,answered,2.0,2.0,0.0,0.0,2796549.0
223,answered,2.0,2.0,1.0,0.0,2796004.0
224,answered,2.0,2.0,1.0,0.0,2796689.0
225,answered,2.0,2.0,0.0,0.0,2788607.0
226,answered,2.0,2.0,1.0,0.0,2796003.0
227,answered,2.0,2.0,1.0,0.0,2788646.0
228,answered,2.0,2.0,1.0,0.0,2788582.0
229,answered,2.0,2.0,1.0,0.0,2796012.0
230,answered,2.0,2.0,1.0,0.0,2788642.0
231,answered,2.0,2.0,0.0,0.0,2796516.0
232,answered,2.0,2.0,1.0,0.0,2796621.0
