VDNKey,Nom_VDN,VDN_ID,Zone_geographique
235,LH_OFS_22157,2796016.0,France
236,LH_OFS_22179,2796019.0,France
237,LH_OFS_22119,2796014.0,France
238,LH_OFS_22265,2796686.0,France
239,LH_OFS_22188,2796625.0,France
240,LH_CA_Paris_PE,2796579.0,France
241,LH_PC_0152_C1,2710317.0,France
242,LH_OFL_22133,2788573.0,France
243,LH_PC_0153_C1,2710311.0,France
244,LH_RCWHOKY,2796582.0,France
245,LH_RCPPCPC,2796592.0,France
246,LH_OFS_22176,2710320.0,France
247,LH_OFS_22287,2796691.0,France
248,LH_OFS_22100,2710361.0,France
249,LH_OFS_22265,2710373.0,France
250,LH_CL_PC_VILLEPIN_EN,2796530.0,France
251,LH_PC_VITROLLES_ANJO,2796616.0,France
252,LH_PC_0042_C1,2710314.0,France
253,LH_RCWHOCA,2796581.0,France
254,LH_OFS_22271,2710375.0,France
255,LH_PC_2258_C1,2710372.0,France
256,LH_RCWHOPC,2796583.0,France
257,LH_OFS_22193,2796021.0,France
258,LH_RES_PC_FR_C1,2710298.0,France
259,LH_OFL_21833,2788627.0,France
260,GT_THAILAND_CH1,2710418.0,International
261,LH_OFL_21760,2788605.0,France
262,LH_RCPPCMKY,2796563.0,France
263,LH_CL_PC_VILLP_C2_EN,2796538.0,France
264,LH_OFS_22190,2796634.0,France
265,LH_PC_VILLEPINTE_C1,2710346.0,France
266,LH_OFL_22127,2796679.0,France
267,LH_RCGUIKY,2796573.0,France
268,LH_JUDO,2796566.0,France
269,LH_PC_2163_C1,2710370.0,France
270,LH_OFL_22299,2788580.0,France
271,LH_CL_CA_BLANCMES_EN,2796531.0,France
272,LH_PC_BLC_MESNIL_C1,2710345.0,France
273,LH_OFS_22271,2796688.0,France
274,GT_NETHERLND_CHOIX_1,2710404.0,Europe
275,LH_PC_0033_C1,2710303.0,France
276,LH_MULTI_ES_2,2796599.0,Europe
277,LH_CHINOIS,2796540.0,International
278,LH_PFYC2,2796643.0,France
279,LH_RCHAULH,2796590.0,France
280,GT_INDIA,2796711.0,International
281,GT_ROMANIA,2796715.0,Europe
282,GT_USA,2796719.0,International
283,GT_INDONESIA,2796712.0,International
284,GT_UK,2796718.0,Europe
285,GT_POLAND,2796714.0,Europe
286,GT_THAILAND,2796717.0,International
287,GT_RUSSIA,2796716.0,Europe
288,GT_CANADA,2796709.0,International
289,LH_PC_0203_C1,2710330.0,France
290,LH_PC_2268_C1,2710374.0,France
291,LH_RCGOOKY,2796577.0,France
292,LH_PC_ORLE_OLIVET_C1,2710343.0,France
293,LH_OFS_22265_C1,2710373.0,France
294,GT_BRAZIL,2796606.0,International
295,GT_INTERNATIONAL,2796713.0,International
